# Current ShellCheck debt baseline. Format: file|level|code|count
# Full diagnostics are still printed in CI; this file only gates new diagnostics.
.builder/build.sh|info|SC2012|2
.builder/script_template.sh|info|SC2317|1
.builder/script_template.sh|warning|SC2034|1
.builder/script_template.sh|warning|SC2093|1
.builder/script_template_root.sh|info|SC2086|1
.builder/script_template_root.sh|warning|SC2093|1
lib/cli.sh|warning|SC2034|1
lib/cli.sh|warning|SC2155|1
lib/commands.clean.sh|info|SC2012|2
lib/commands.clean.sh|info|SC2086|4
lib/commands.clean.sh|warning|SC2155|16
lib/commands.core.sh|info|SC2329|1
lib/commands.core.sh|warning|SC2155|3
lib/commands.info.sh|info|SC2012|3
lib/commands.info.sh|warning|SC2155|10
lib/commands.profile.sh|info|SC2059|3
lib/commands.profile.sh|warning|SC2155|2
lib/commands.profile.sh|warning|SC2207|1
lib/commands.sh|info|SC1091|6
lib/commands.sh|info|SC2059|4
lib/commands.sh|warning|SC2155|4
lib/commands.sh|warning|SC2221|1
lib/commands.sh|warning|SC2222|1
lib/commands.slot.sh|info|SC2086|1
lib/commands.slot.sh|style|SC2004|1
lib/commands.slot.sh|warning|SC2155|21
lib/commands.system.sh|info|SC2162|1
lib/commands.system.sh|info|SC2295|1
lib/commands.system.sh|style|SC2004|2
lib/commands.system.sh|warning|SC2034|3
lib/commands.system.sh|warning|SC2155|34
lib/common.sh|info|SC2059|3
lib/common.sh|info|SC2086|13
lib/common.sh|warning|SC2034|4
lib/config.sh|warning|SC2155|15
lib/docker.sh|info|SC1091|1
lib/docker.sh|info|SC2015|1
lib/docker.sh|info|SC2086|1
lib/docker.sh|info|SC2329|1
lib/docker.sh|warning|SC2034|1
lib/docker.sh|warning|SC2046|2
lib/docker.sh|warning|SC2155|7
lib/docker.sh|warning|SC2206|6
lib/env.sh|warning|SC2034|4
lib/env.sh|warning|SC2155|2
lib/os.sh|info|SC2086|2
lib/preflight.sh|warning|SC2155|7
lib/project.sh|info|SC2086|2
lib/project.sh|warning|SC2034|2
lib/project.sh|warning|SC2155|19
lib/state.sh|style|SC2001|1
lib/state.sh|warning|SC2155|7
main.sh|info|SC2012|2
main.sh|info|SC2086|1
main.sh|warning|SC2034|2
main.sh|warning|SC2154|2
main.sh|warning|SC2155|11
tests/test_bash32_compat.sh|info|SC2016|1
tests/test_bash32_compat.sh|info|SC2329|13
tests/test_bash32_compat.sh|warning|SC2034|1
tests/test_bash32_compat.sh|warning|SC2155|8
tests/test_cli_bash32.sh|warning|SC2164|1
tests/test_runtime_regressions.sh|info|SC2016|1
